統計区・町丁名,世帯数,人口,男,女,年,月
三十苅町,645.0,1475.0,705.0,770.0,2020,6
額乙丸町,634.0,1485.0,699.0,786.0,2020,6
大額町,109.0,238.0,118.0,120.0,2020,6
額谷町,70.0,186.0,86.0,100.0,2020,7
四十万町,834.0,2202.0,1099.0,1103.0,2020,7
三十苅町,642.0,1466.0,701.0,765.0,2020,7
額乙丸町,639.0,1491.0,699.0,792.0,2020,7
大額町,108.0,237.0,118.0,119.0,2020,7
額谷町,70.0,186.0,86.0,100.0,2020,8
四十万町,842.0,2223.0,1110.0,1113.0,2020,8
三十苅町,639.0,1466.0,701.0,765.0,2020,8
額乙丸町,609.0,1463.0,695.0,768.0,2020,8
大額町,109.0,237.0,118.0,119.0,2020,8
額谷町,70.0,185.0,85.0,100.0,2020,9
四十万町,849.0,2230.0,1112.0,1118.0,2020,9
三十苅町,641.0,1470.0,704.0,766.0,2020,9
額乙丸町,612.0,1475.0,702.0,773.0,2020,9
大額町,109.0,236.0,118.0,118.0,2020,9
額谷町,70.0,184.0,84.0,100.0,2020,10
四十万町,851.0,2231.0,1112.0,1119.0,2020,10
三十苅町,640.0,1464.0,698.0,766.0,2020,10
額乙丸町,610.0,1477.0,703.0,774.0,2020,10
大額町,110.0,237.0,117.0,120.0,2020,10
額谷町,70,183,84,99,2020,11
四十万町,852,2228,1107,1121,2020,11
三十苅町,646,1479,708,771,2020,11
額乙丸町,613,1476,700,776,2020,11
大額町,110,237,117,120,2020,11
額谷町,70,182,83,99,2020,12
四十万町,854,2226,1107,1119,2020,12
三十苅町,650,1483,711,772,2020,12
額乙丸町,637,1504,719,785,2020,12
大額町,110,237,117,120,2020,12
額谷町,70.0,182.0,83.0,99.0,2021,1
四十万町,856.0,2227.0,1107.0,1120.0,2021,1
三十苅町,651.0,1478.0,709.0,769.0,2021,1
額乙丸町,673.0,1540.0,741.0,799.0,2021,1
大額町,111.0,240.0,118.0,122.0,2021,1
額谷町,70.0,181.0,82.0,99.0,2021,2
四十万町,857.0,2231.0,1107.0,1124.0,2021,2
三十苅町,657.0,1489.0,715.0,774.0,2021,2
額乙丸町,619.0,1486.0,705.0,781.0,2021,2
大額町,110.0,238.0,117.0,121.0,2021,2
額谷町,70.0,180.0,82.0,98.0,2021,3
四十万町,854.0,2220.0,1100.0,1120.0,2021,3
三十苅町,655.0,1486.0,714.0,772.0,2021,3
額乙丸町,603.0,1467.0,691.0,776.0,2021,3
大額町,110.0,238.0,117.0,121.0,2021,3
額谷町,71.0,181.0,83.0,98.0,2021,4
四十万町,858.0,2228.0,1109.0,1119.0,2021,4
三十苅町,655.0,1477.0,710.0,767.0,2021,4
額乙丸町,602.0,1462.0,690.0,772.0,2021,4
大額町,109.0,236.0,115.0,121.0,2021,4
額谷町,70.0,181.0,83.0,98.0,2021,5
四十万町,863.0,2236.0,1114.0,1122.0,2021,5
三十苅町,658.0,1478.0,712.0,766.0,2021,5
